millis,id,hexString,length,parsedValue
1657041673579,0x591,000000000000A776,1,[42.87]
1657041673579,0x590,000000000000A654,1,[42.58]
1657041673579,0x5A1,0000000000000000,3,"[0, 0, 0]"
1657041673579,0x5A0,0000000000000000,3,"[0, 0, 0]"
1657041673579,0x5B1,16A1074A0000E4EE,4,"[0.8883749143893, 1866, 0.0, 0.40445797910306425]"
1657041673579,0x5B0,16D100740000E3EE,4,"[0.8957358665541001, 116, 0.0, 0.4026912445937924]"
1657041673579,0x5C1,0000000000000000,1,[0.0]
1657041673579,0x5C0,0000000000000000,1,[0.0]
1657041673579,0x5D1,000000000000FFFF,2,"[0.0, 0.065535]"
1657041673579,0x5D0,000000000000FFFF,2,"[0.0, 0.065535]"
1657041673580,0x590,000000000000A5DC,1,[42.46]
1657041673580,0x5A0,0000000000000000,3,"[0, 0, 0]"
1657041673580,0x5B0,17A1004A0000E49E,4,"[0.9276333259349001, 74, 0.0, 0.4039058745689168]"
1657041673580,0x5C0,0000000000000000,1,[0.0]
1657041673580,0x5D0,000000000000FFFF,2,"[0.0, 0.065535]"
1657041673580,0x23F,0000000004A105E3,2,"[11.85, 15.07]"
1657041673580,0x035,000000000000000A,1,[10]
1657041673580,0x034,0000000000000020,1,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]]"
1657041673580,0x033,0000000000000000,1,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
1657041673580,0x23C,0C9A0CA50D710CB1,4,"[32.26, 32.37, 34.410000000000004, 32.49]"
1657041673580,0x23D,0D230C570CA50CA6,4,"[33.63, 31.59, 32.37, 32.38]"
1657041673580,0x23E,0C620C5A07A30A6A,4,"[31.7, 31.62, 19.55, 26.66]"
1657041673581,0x2F1,00000F790F770F85,3,"[39.61, 39.59, 39.730000000000004]"
1657041673581,0x233,00000D8F0F010901,3,"[34.71, 38.410000000000004, 23.05]"
1657041673581,0x235,9CFD9CD09CD49CA6,4,"[4.0189, 4.0144, 4.0148, 4.0102]"
1657041673581,0x236,9C0C9C859C799C7E,4,"[3.9948, 4.0069, 4.0057, 4.0062]"
1657041673581,0x237,9D0B9CCE9CD49CB9,4,"[4.0203, 4.0142, 4.0148, 4.0121]"
1657041673581,0x238,9C639CD39CB69D05,4,"[4.0035, 4.0147, 4.0118, 4.0197]"
1657041673645,0x239,9D0C9CED9CD29C39,4,"[4.0204, 4.0173000000000005, 4.014600000000001, 3.9993000000000003]"
1657041673645,0x041,0000000000000003,1,[3]
1657041673645,0x23A,9CEF9CD79CBB9CF1,4,"[4.0175, 4.0151, 4.0123, 4.0177000000000005]"
1657041673645,0x23B,9CDB9CCF9CB39CEB,4,"[4.0155, 4.0143, 4.0115, 4.0171]"
1657041673645,0x230,00000000001124E4,1,[112.35560000000001]
1657041673645,0x234,00009CBF9D0C9C0C,3,"[4.012700000000001, 4.0204, 3.9948]"
1657041673645,0x471,000000000000000C,1,[12]
1657041673645,0x088,000000000000000B,1,[0.11]
1657041673645,0x074,0000000000000000,3,"[0.0, 0.0, 0.0]"
1657041673646,0x301,0000000000000000,3,"[0, 0, 0]"
1657041673646,0x232,00000000FFFFFFE8,1,[-0.24]
1657041673646,0x410,069EC040FFD6DAAA,2,"[1110.672, -74.90372222282146]"
1657041673646,0x471,000000000000000C,1,[12]
1657041673646,0x251,0000000000000000,3,"[0, [0, 0, 0, 0, 0, 0, 0, 0], 0.0]"
1657041673646,0x201,0000000000000000,2,"[0.0, 0.0]"
1657041673646,0x240,0000000000000E02,2,"[14, [0, 1, 0, 0, 0, 0, 0, 0]]"
1657041673646,0x300,0000000000000000,1,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
1657041673646,0x041,0000000000000003,1,[3]
1657041673646,0x201,0000000000000000,2,"[0.0, 0.0]"
1657041673646,0x082,000000000000000F,1,[15]
1657041673646,0x250,0000000000000000,2,"[0, 0]"
1657041673647,0x462,0000000000001000,2,"[16, [0, 0, 0, 0, 0, 0, 0, 0]]"
1657041673647,0x260,0000000000000000,1,[0]
1657041673647,0x471,000000000000000C,1,[12]
1657041673647,0x088,000000000000000B,1,[0.11]
1657041673647,0x401,0000000000000000,1,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
1657041673647,0x041,0000000000000003,1,[3]
1657041673647,0x251,0000000000000000,3,"[0, [0, 0, 0, 0, 0, 0, 0, 0], 0.0]"
1657041673647,0x201,0000000000000000,2,"[0.0, 0.0]"
1657041673647,0x471,000000000000000C,1,[12]
1657041673647,0x232,00000000FFFFFFD5,1,[-0.43]
1657041673647,0x410,069EC010FFB647C6,2,"[1110.67152, -134.20250000107362]"
1657041673676,0x262,0000000000000001,1,"[[1, 0, 0, 0, 0, 0, 0, 0]]"
1657041673676,0x250,0000000000000000,2,"[0, 0]"
1657041673676,0x462,0000000000001000,2,"[16, [0, 0, 0, 0, 0, 0, 0, 0]]"
1657041673676,0x260,0000000000000000,1,[0]
1657041673676,0x2F0,0053000000000000,4,"[83, 0, 0, 0]"
1657041673676,0x23F,0000000004A305E7,2,"[11.870000000000001, 15.11]"
1657041673676,0x035,000000000000000A,1,[10]
1657041673676,0x034,0000000000000020,1,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]]"
1657041673676,0x033,0000000000000000,1,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
1657041673676,0x23C,0C9B0CA50D710CB2,4,"[32.27, 32.37, 34.410000000000004, 32.5]"
1657041673677,0x23D,0D230C560CA40CA6,4,"[33.63, 31.580000000000002, 32.36, 32.38]"
1657041673677,0x23E,0C620C5A07A30A69,4,"[31.7, 31.62, 19.55, 26.650000000000002]"
1657041673677,0x2F1,00000F750F760F77,3,"[39.57, 39.58, 39.59]"
1657041673677,0x233,00000D8F0F010901,3,"[34.71, 38.410000000000004, 23.05]"
1657041673677,0x235,9CFD9CD29CD39CA5,4,"[4.0189, 4.014600000000001, 4.0147, 4.0101]"
1657041673677,0x236,9C0D9C869C789C7F,4,"[3.9949000000000003, 4.007000000000001, 4.0056, 4.0063]"
1657041673677,0x237,9D0B9CCD9CD49CBB,4,"[4.0203, 4.0141, 4.0148, 4.0123]"
1657041673677,0x238,9C639CD39CB89D04,4,"[4.0035, 4.0147, 4.0120000000000005, 4.0196000000000005]"
1657041673677,0x239,9D0B9CEE9CD29C39,4,"[4.0203, 4.0174, 4.014600000000001, 3.9993000000000003]"
1657041673677,0x041,0000000000000003,1,[3]
1657041673677,0x23A,9CEE9CD89CB99CF2,4,"[4.0174, 4.0152, 4.0121, 4.0178]"
1657041673678,0x23B,9CDA9CCF9CB29CEB,4,"[4.0154000000000005, 4.0143, 4.0114, 4.0171]"
1657041673678,0x230,00000000001124E5,1,[112.3557]
1657041673678,0x234,00009CBF9D0B9C0D,3,"[4.012700000000001, 4.0203, 3.9949000000000003]"
1657041673678,0x471,000000000000000C,1,[12]
1657041673678,0x400,0000000000000000,1,"[[0, 0, 0, 0, 0, 0, 0, 0]]"
1657041673678,0x088,000000000000000B,1,[0.11]
1657041673678,0x251,0000000000000000,3,"[0, [0, 0, 0, 0, 0, 0, 0, 0], 0.0]"
1657041673678,0x201,0000000000000000,2,"[0.0, 0.0]"
1657041673678,0x471,000000000000000C,1,[12]
1657041673678,0x232,00000000FFFFFFE6,1,[-0.26]
1657041673678,0x410,069EBFEEFFD36CE0,2,"[1110.67118, -81.14577777842695]"
1657041673703,0x300,0000000000000000,1,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
1657041673703,0x250,0000000000000000,2,"[0, 0]"
1657041673703,0x462,0000000000001000,2,"[16, [0, 0, 0, 0, 0, 0, 0, 0]]"
1657041673703,0x260,0000000000000000,1,[0]
1657041673703,0x700,00000E6D00004003,2,"[3693, 16387]"
1657041673703,0x701,0000000000000000,5,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 0, 0, 0]"
1657041673703,0x702,0000000042E059A0,2,"[0.0, 112.175048828125]"
1657041673703,0x703,0000000000000000,2,"[0.0, 0.0]"
1657041673703,0x704,0000000000000000,2,"[0.0, 0.0]"
1657041673703,0x705,3D3C5AC03DE02EA0,2,"[0.04598498344421387, 0.10946393013000488]"
1657041673703,0x706,0000000000000000,2,"[0.0, 0.0]"
1657041673704,0x707,0000000000000000,2,"[0.0, 0.0]"
