type,latitude,longitude,altitude (ft),course,slope (%),distance (mi),distance_interval (ft),color,opacity,width,scale,sym,name,desc
W,39.092180328,-94.417052726,1045.6,,,,,#c2185b,,,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,A. Independence,
W,39.037730470,-95.676168265,899.3,,,,,#c2185b,,,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,B. Topeka,
W,40.882933512,-98.373416689,1866.5,,,,,#c2185b,,,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,C. Grand Island,
W,41.828385359,-103.707647140,4119.1,,,,,#c2185b,,,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,D. Gering,
W,42.866811643,-106.336730415,5302.5,,,,,#c2185b,,,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,E. Casper,
W,42.841597575,-108.745826606,5352.0,,,,,#c2185b,,,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,F. Lander,
W,42.322974163,-111.297701666,5980.6,,,,,#c2185b,,,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,G. Montpelier,
W,42.864735055,-112.452639552,4463.6,,,,,#c2185b,,,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,H. Pocatello,
W,42.583990486,-114.471057557,3656.8,,,,,#c2185b,,,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,I. Twin Falls,

type,latitude,longitude,altitude (ft),course,slope (%),distance (mi),distance_interval (ft),color,opacity,width,scale,sym,name,desc
T,39.092185000,-94.417077000,1045.4,,,0.000,,#0288d1,1.00,1.2,,,A. Independence to Topeka,
T,39.092184000,-94.417187000,1045.0,,-2.6,0.006,31.22,,,,,,,
T,39.092197000,-94.417811000,1041.0,,-2.6,0.039,177.18,,,,,,,
T,39.092212000,-94.418348000,1036.0,,-2.6,0.068,152.52,,,,,,,
T,39.092216000,-94.418486000,1034.8,,-2.6,0.076,39.20,,,,,,,
T,39.092219000,-94.418596000,1034.2,271.7,-2.9,0.082,31.24,,,,,,,
T,39.092223000,-94.418738000,1033.4,271.9,-2.7,0.089,40.33,,,,,,,
T,39.092229000,-94.418961000,1031.5,272.1,-2.7,0.101,63.33,,,,,,,
T,39.092238000,-94.419374000,1028.0,271.9,-2.8,0.124,117.27,,,,,,,
T,39.092250000,-94.419786000,1024.8,271.9,-2.4,0.146,117.02,,,,,,,
T,39.092252000,-94.419879000,1024.1,271.9,-1.0,0.151,26.41,,,,,,,
T,39.092255000,-94.420004000,1024.7,271.9,-0.6,0.157,35.50,,,,,,,
T,39.092275000,-94.420919000,1025.8,271.7,0.2,0.207,259.81,,,,,,,
T,39.092277000,-94.420968000,1025.4,271.8,0.5,0.209,13.93,,,,,,,
T,39.092279000,-94.421088000,1025.7,271.6,0.4,0.216,34.07,,,,,,,
T,39.092280000,-94.421105000,1025.7,271.7,0.3,0.217,4.84,,,,,,,
T,39.092282000,-94.421217000,1025.9,271.6,0.7,0.223,31.80,,,,,,,
T,39.092284000,-94.421296000,1026.1,271.8,-1.3,0.227,22.44,,,,,,,
T,39.092286000,-94.421388000,1026.2,271.6,-1.1,0.232,26.12,,,,,,,
T,39.092344000,-94.423673000,1016.0,271.9,-1.1,0.355,648.91,,,,,,,
T,39.092357000,-94.424199000,1015.7,271.8,-1.1,0.383,149.37,,,,,,,
T,39.092363000,-94.424428000,1015.5,271.9,-1.1,0.395,65.04,,,,,,,
T,39.092375000,-94.424921000,1015.2,271.9,-0.3,0.422,140.00,,,,,,,
T,39.092367000,-94.425077000,1014.9,271.6,0.5,0.430,44.37,,,,,,,
T,39.092321000,-94.425398000,1014.6,269.0,0.4,0.448,92.64,,,,,,,
T,39.091925000,-94.426613000,1019.0,257.0,0.4,0.519,373.81,,,,,,,
T,39.091699000,-94.427307000,1019.3,253.5,0.0,0.559,213.49,,,,,,,
T,39.091444000,-94.427990000,1018.5,248.7,-0.0,0.600,214.96,,,,,,,
T,39.091169000,-94.428586000,1015.0,246.3,-0.7,0.637,196.60,,,,,,,
