type,latitude,longitude,altitude (ft),course,slope (%),distance (mi),distance_interval (ft),color,opacity,width,scale,sym,name,desc
T,40.885432000,-98.373202000,1866.1,,,0.000,,#0288d1,1.00,1.2,,,C. Grand Island to Gering,
T,40.886383000,-98.373141000,1866.2,,-0.1,0.066,346.90,,,,,,,
T,40.887055000,-98.373055000,1865.3,,-0.0,0.112,245.99,,,,,,,
T,40.887324000,-98.373061000,1865.5,,-0.0,0.131,98.02,,,,,,,
T,40.887721000,-98.373039000,1866.0,,-0.1,0.158,144.77,,,,,,,
T,40.887864000,-98.373038000,1865.9,2.9,0.1,0.168,52.10,,,,,,,
T,40.887932000,-98.373037000,1865.8,2.9,0.1,0.173,24.78,,,,,,,
T,40.887934000,-98.373179000,1865.8,353.9,0.0,0.180,39.27,,,,,,,
T,40.887967000,-98.375151000,1866.4,292.1,0.0,0.284,545.39,,,,,,,
T,40.887998000,-98.375322000,1866.1,279.1,-0.1,0.293,48.61,,,,,,,
T,40.888007000,-98.375442000,1865.9,274.5,0.0,0.299,33.34,,,,,,,
T,40.888039000,-98.376627000,1865.3,272.3,0.1,0.361,327.86,,,,,,,
T,40.888055000,-98.377910000,1866.1,271.9,0.2,0.428,354.80,,,,,,,
T,40.888064000,-98.378096000,1867.3,272.5,0.2,0.438,51.53,,,,,,,
T,40.888068000,-98.378191000,1867.9,271.8,0.0,0.443,26.31,,,,,,,
T,40.888865000,-98.378210000,1867.8,292.3,-0.0,0.498,290.43,,,,,,,
T,40.892641000,-98.378265000,1866.2,344.9,-0.1,0.759,1375.84,,,,,,,
T,40.894734000,-98.378299000,1865.6,357.5,-0.1,0.903,762.63,,,,,,,
T,40.895312000,-98.378310000,1865.9,358.7,-0.1,0.943,210.61,,,,,,,
T,40.895546000,-98.378324000,1865.6,359.2,-0.2,0.959,85.34,,,,,,,
T,40.895789000,-98.378344000,1864.9,359.2,-0.2,0.976,88.71,,,,,,,
T,40.896040000,-98.378373000,1864.2,358.6,-0.0,0.993,91.80,,,,,,,
T,40.896290000,-98.378421000,1864.3,356.6,0.3,1.011,92.05,,,,,,,
T,40.896525000,-98.378478000,1865.8,354.0,0.5,1.027,87.06,,,,,,,
T,40.896796000,-98.378551000,1867.1,352.2,0.9,1.046,100.78,,,,,,,
T,40.897101000,-98.378647000,1867.3,350.1,1.0,1.068,114.25,,,,,,,
T,40.897485000,-98.378791000,1869.3,347.7,1.0,1.096,145.46,,,,,,,
T,40.897885000,-98.378969000,1870.3,345.4,1.1,1.125,153.82,,,,,,,
T,40.898270000,-98.379164000,1872.6,343.5,0.8,1.153,150.27,,,,,,,
T,40.898937000,-98.379506000,1876.0,341.4,0.7,1.203,260.76,,,,,,,
T,40.901536000,-98.380841000,1880.4,339.5,0.7,1.395,1016.31,,,,,,,
T,40.902173000,-98.381174000,1881.5,339.0,0.6,1.442,249.68,,,,,,,
T,40.902295000,-98.381238000,1882.0,338.7,0.4,1.451,47.84,,,,,,,
T,40.902421000,-98.381304000,1882.0,338.7,0.1,1.461,49.40,,,,,,,
T,40.902514000,-98.381351000,1881.8,338.7,0.0,1.468,36.29,,,,,,,
