type,latitude,longitude,altitude (ft),course,slope (%),distance (mi),distance_interval (ft),color,opacity,width,scale,sym,name,desc
T,42.867587654,-106.337924032,5302.4,,,0.000,,#9c27b0,1.00,1.2,,,DL. Casper Loop,
T,42.867629013,-106.338287788,5302.5,,0.5,0.019,98.68,,,,,,,
T,42.867670371,-106.338651545,5303.4,,0.6,0.037,98.68,,,,,,,
T,42.867711728,-106.339015303,5303.9,,0.6,0.056,98.68,,,,,,,
T,42.867750530,-106.339356605,5304.5,,-0.8,0.074,92.59,,,,,,,
T,42.867750000,-106.339412000,5304.6,278.5,-2.0,0.076,14.85,,,,,,,
T,42.866209000,-106.339674000,5295.9,215.6,-2.9,0.184,566.02,,,,,,,
T,42.865737000,-106.339709000,5284.9,201.8,-4.0,0.216,172.29,,,,,,,
T,42.865318000,-106.339602000,5274.6,190.2,-4.4,0.246,155.38,,,,,,,
T,42.864852000,-106.339397000,5261.5,180.6,-6.9,0.279,178.51,,,,,,,
T,42.864472000,-106.339083000,5250.0,175.8,-7.0,0.310,162.08,,,,,,,
T,42.864062000,-106.338548000,5235.5,159.0,-7.1,0.349,207.13,,,,,,,
T,42.863832000,-106.338076000,5225.1,147.9,-6.8,0.378,151.80,,,,,,,
T,42.863714000,-106.337743000,5218.0,139.7,-6.9,0.397,99.10,,,,,,,
T,42.863622000,-106.337341000,5211.4,129.2,-6.9,0.418,112.88,,,,,,,
T,42.863510000,-106.336575000,5196.5,117.6,-6.7,0.458,209.39,,,,,,,
T,42.863481000,-106.335919000,5183.9,106.8,-6.5,0.491,176.20,,,,,,,
T,42.863497000,-106.334728000,5164.1,97.8,-6.6,0.552,319.38,,,,,,,
T,42.863493000,-106.334494000,5160.6,95.3,-6.7,0.564,62.76,,,,,,,
T,42.863483000,-106.333937000,5150.8,93.2,-6.5,0.592,149.38,,,,,,,
T,42.863389000,-106.333480000,5140.7,93.1,-6.7,0.616,127.23,,,,,,,
T,42.863190000,-106.333105000,5133.2,98.0,-6.1,0.640,123.97,,,,,,,
T,42.862948000,-106.332842000,5125.7,111.7,-5.6,0.661,112.92,,,,,,,
T,42.862678000,-106.332690000,5122.6,121.6,-3.5,0.681,106.51,,,,,,,
T,42.862427000,-106.332631000,5119.4,137.8,-1.4,0.699,92.84,,,,,,,
T,42.861729000,-106.332635000,5116.7,159.5,-0.9,0.747,254.40,,,,,,,
T,42.859594000,-106.332664000,5113.8,174.9,-0.8,0.894,778.18,,,,,,,
T,42.859447000,-106.332655000,5113.5,177.8,-0.6,0.904,53.63,,,,,,,
T,42.859253000,-106.332674000,5113.1,179.8,-0.4,0.918,70.89,,,,,,,
T,42.859044000,-106.332735000,5112.5,181.3,-0.3,0.933,77.91,,,,,,,
T,42.858839000,-106.332842000,5112.1,183.0,-0.2,0.948,80.04,,,,,,,
T,42.858494000,-106.333051000,5112.4,194.5,0.3,0.974,137.66,,,,,,,
T,42.858410000,-106.333101000,5112.7,197.5,0.5,0.980,33.42,,,,,,,
T,42.858173000,-106.333256000,5114.4,201.6,0.5,0.998,95.86,,,,,,,
T,42.857220000,-106.333950000,5116.3,206.0,0.5,1.073,394.05,,,,,,,
T,42.856970000,-106.334127000,5115.9,206.7,0.4,1.092,102.74,,,,,,,
T,42.856666000,-106.334272000,5116.3,206.1,0.1,1.115,117.42,,,,,,,
T,42.856453000,-106.334373000,5115.9,205.5,-0.2,1.130,82.22,,,,,,,
T,42.856253000,-106.334448000,5115.3,204.5,-0.1,1.145,75.62,,,,,,,
T,42.856101000,-106.334519000,5115.4,200.4,-0.1,1.156,58.58,,,,,,,
T,42.855932000,-106.334616000,5115.6,199.1,-0.1,1.168,66.86,,,,,,,
T,42.855801000,-106.334726000,5115.8,201.0,0.5,1.179,56.12,,,,,,,
T,42.855686000,-106.334866000,5115.5,205.2,0.3,1.190,56.27,,,,,,,
T,42.855579000,-106.335030000,5116.7,212.3,0.7,1.201,58.78,,,,,,,
T,42.855438000,-106.335300000,5116.5,220.8,1.1,1.218,88.78,,,,,,,
T,42.854629000,-106.337044000,5121.4,233.8,0.9,1.322,552.85,,,,,,,
T,42.854474000,-106.337257000,5125.0,234.4,1.0,1.337,80.34,,,,,,,
T,42.854319000,-106.337398000,5122.9,233.6,1.4,1.350,67.98,,,,,,,
T,42.854151000,-106.337489000,5125.0,231.6,2.4,1.363,65.91,,,,,,,
T,42.853955000,-106.337550000,5128.2,228.0,3.2,1.377,73.28,,,,,,,
T,42.853756000,-106.337558000,5130.0,203.3,2.9,1.390,72.56,,,,,,,
T,42.852711000,-106.337406000,5146.4,183.5,-0.3,1.463,383.04,,,,,,,
T,42.852287000,-106.337370000,5144.7,179.4,1.3,1.492,154.84,,,,,,,
T,42.851882000,-106.337306000,5122.5,176.6,-0.2,1.520,148.60,,,,,,,
T,42.851326000,-106.337218000,5140.7,174.7,-1.3,1.559,204.01,,,,,,,
T,42.848640000,-106.336778000,5126.0,173.6,-1.3,1.746,986.05,,,,,,,
T,42.848254000,-106.336769000,5124.9,174.0,-0.1,1.773,140.71,,,,,,,
T,42.848125000,-106.336766000,5124.6,173.9,-2.2,1.781,47.02,,,,,,,
T,42.847588000,-106.336785000,5120.5,174.9,-1.7,1.818,195.79,,,,,,,
T,42.846926000,-106.336843000,5105.0,176.4,-0.9,1.864,241.78,,,,,,,
T,42.846650000,-106.336844000,5113.9,181.4,-0.8,1.883,100.59,,,,,,,
T,42.846110000,-106.336830000,5117.7,181.2,-0.3,1.921,196.85,,,,,,,
T,42.845631000,-106.336856000,5117.3,181.5,1.9,1.954,174.72,,,,,,,
T,42.845197000,-106.336879000,5117.7,181.7,0.7,1.984,158.30,,,,,,,
T,42.845112000,-106.336883000,5117.7,180.9,0.1,1.990,31.00,,,,,,,
T,42.845023000,-106.336891000,5117.9,181.2,0.2,1.996,32.51,,,,,,,
T,42.844596000,-106.336917000,5118.4,182.4,0.2,2.025,155.78,,,,,,,
T,42.843899000,-106.336962000,5118.6,182.6,0.2,2.073,254.32,,,,,,,
T,42.842584000,-106.337026000,5120.0,182.4,0.1,2.164,479.58,,,,,,,
T,42.842300000,-106.337038000,5119.5,182.3,0.1,2.184,103.56,,,,,,,
T,42.841511000,-106.337026000,5118.8,181.6,0.5,2.238,287.58,,,,,,,
