INDEPENDENCE TO TOPEKA,,,,,,,,
,,,,,,,,
Step,Trip,Int,Major Turns/Instructions,Landmarks/Notes,Ln,Spd,Shoulder,Services
A 1,0.00,,HEAD WEST at STOP SIGN on Lexington Ave at Liberty Street,,1,20,parking w/ curb,
A 2,0.05,0.05,,Stop Sign for N Osage St,1,20,,
A 3,0.15,0.10,,Stop Sign for S Spring St,,,,
A 4,0.20,0.05,,Stop Sign for N Pleasant St,,,,
A 5,0.50,0.30,,Stop sign (flashing red) for N River Blvd,,,,
A 6,0.70,0.20,,SL for W Walnut St,,,,
A 7,1.00,0.30,CONTINUE STRAIGHT on S Crysler Ave,"SL for Lexington Ave, temporarily gain 2 lanes, right lane ends after light",1,30,paved,
A 8,1.50,0.50,,"SL for W 23rd St, right lane is turn only",,,,fuel
A 9,1.60,0.10,,,,35,curb,
A 10,3.00,1.40,,SL for 35th St,,,,
A 11,3.50,0.50,TURN RIGHT at SL for 39th St ,Follow signs for the Oregon NHT,1,35,grass,
A 12,3.90,0.40,TURN LEFT at the flashing red STOP SIGN for Blue Ridge Blvd,Follow signs for the Oregon NHT,1,35,Grass,
A 13,4.20,0.30,,Cross over I-70,,,,
A 14,4.50,0.30,,"SL for 43rd St, ""NHT Original Route Segment Begins"" on right after light",1,35,gravel/grass,
A 15,5.10,0.60,,SL for 47th St,,,,
A 16,5.60,0.50,,"SL for 51st St, Entering Raytown",,,Curb,
A 17,6.00,0.40,,SL for Woodson Rd,1,35,curb,
A 18,6.40,0.40,,"SL for Sterling Ave, NHT Original Route sign",,,,
A 19,7.10,0.70,,"SL for 59th St, NHT Original Route sign",2,30,curb,
A 20,7.60,0.50,"TURN RIGHT at the SL for 63rd St, with NHT Original Route sign",,1,25,parking,
A 21,7.70,0.10,,SL for Raytown Rd,,,,
A 22,7.90,0.20,,SL for Raytown Trafficway (light changes quickly),2,30,curb,food
A 23,8.20,0.30,CONTINUE STRAIGHT at Elm St,DO NOT follow NHT Original Route sign turning left,,,,
A 24,8.70,0.50,TURN LEFT at the SL for Blue Ridge Cutoff,,2,40,curb,fuel
A 25,9.10,0.40,CONTINUE STRAIGHT on Blue Ridge Blvd at 66th,Back on NHT Original Route,,,,
A 26,9.20,0.10,,SL for 67th,2,40,curb,
A 27,9.70,0.50,,"SL for Gregory Blvd, signs for Cave Springs and William M. Klein Park on right; follow Oregon Trail Original Route",2,40,curb,
A 28,10.70,1.00,,"SL for 79th St, Oregon NHT sign after light",2,40,curb,
A 29,11.30,0.60,,SL for James A Reed Rd,,,,
A 30,12.00,0.70,CONTINUE STRAIGHT to follow Blue Ridge Blvd,"SL for 87th St, Oregon NHT original route diverges right",2,,curb,
A 31,13.30,1.30,,SL for Bannister Rd,2,40,curb,fuel
A 32,13.80,0.50,,SL for 99th St,,,,
A 33,14.20,0.40,,Two SLs for junction with I-470 and US-50 underpass,,,,
A 34,14.80,0.60,,SL for 107th St,2,40,curb,fuel
A 35,15.40,0.60,,SL for Red Bridge Rd/111th St,2,40,curb,Fuel?
A 36,15.90,0.50,,SL for Longview Rd,2,,curb,food
A 37,16.60,0.70,,2 SLs for junctions with I-49 and US-71,,,,
A 38,16.70,0.10,,,2,35,curb,
A 39,17.00,0.30,,SL for Truman's Marketplace St,,,,All
A 40,17.50,0.50,,SL for Harry Truman Dr,2,35,curb,"fuel, food"
A 41,17.60,0.10,,"SL for Grandview Rd, right lane ends ahead",1,35,curb,
A 42,18.50,0.90,,,1,45,,
A 43,19.70,1.20,,Parking area on right with bathroom,,,,
A 44,20.10,0.40,,Parking area on right with bathroom,,40,,
A 45,20.80,0.70,,SL for Holmes Rd,1,40,curb,fuel
A 46,21.30,0.50,,SL for Wornall Rd,,,Grass/gravel ,
A 47,21.40,0.10,,,2,40,curb,
A 48,22.00,0.60,TURN LEFT at SL onto State Line Rd,Entering Kansas,2,40,curb,fuel
A 49,22.10,0.10,,SL for W 133 St,,,,Hospital
A 50,22.20,0.10,,"SL for E 133 St, shopping center on left",,,,
