TOPEKA TO GRAND ISLAND,,,,,,,,
,,,,,,,,
Step,Trip,Int,Major Turns/Instructions,Landmarks/Notes,Ln,Spd,Shoulder,Services
B 1,0.00,,TURN RIGHT at Stop Sign onto SE 17th St,,,,,
B 2,0.10,0.10,,SL onto S Kansas Ave,2,30,curb,
B 3,0.40,0.30,TURN RIGHT at SL onto SW Topeka Blvd,,,40,,
B 4,0.80,0.40,,3x SL for SW Huntoon St & SW 12th St Capital City of Kansas Sign ,2,35,curb,
B 5,1.10,0.30,,SL for SW 10th Ave,,,,
B 6,1.30,0.20,,SL for SW 8th Ave,,,,
B 7,1.50,0.20,,SL for SW 6th Ave,,,,
B 8,1.60,0.10,,SL for SW 5th St,,,,
B 9,1.70,0.10,,SL for SW 4th St,,,,
B 10,1.80,0.10,,SL for SW 3rd St,2,40,curb,
B 11,2.00,0.20,,SL for W 1st St,,,,
B 12,2.20,0.20,,Cross Kansas River,,,,
B 13,2.80,0.60,,SL for NW Gordon St,2,35,curb,
B 14,2.90,0.10,,SL for NW Morse St,2,40,,
B 15,3.80,0.90,,SL for NW Independence Ave,,,,food
B 16,4.00,0.20,,SL for NW Lyman Rd. The rightmost lane is an unmarked turn lane; continue straight,,,,
B 17,4.10,0.10,CONTINUE STRAIGHT at US-24 W onramp,"Note: Solar cars that are doing the Topeka checkpoint loop will be exiting right here, DO NOT FOLLOW THEM if you want to continue forward on the route to Grand Island",,,,
B 18,4.30,0.20,TURN RIGHT immediately after the underpass onto the US-24 West on ramp towards Manhatten,,,,,
B 19,4.40,0.10,MERGE LEFT onto US-24 West,NOTE: No merging lane! Yield at the top of the ramp,2,45,Paved/grass,
B 20,4.90,0.50,,SL for NW Tyler St/NW Rochester Rd,,55,,
B 21,5.50,0.60,,BIG tires on right at the Goodyear plant,,65,wide paved,
B 22,7.50,2.00,,Junction with US-75,,,,
B 23,9.80,2.30,"MERGE RIGHT, left lane ends",Divided Hwy ends ahead,1,65,paved/gravel,
B 24,10.70,0.90,,"NW Landon Rd, radio tower on left",,,,
B 25,14.40,3.70,,Entering Silver Lake,1,45,,"fuel, food"
B 26,14.60,0.20,,Silver Lake City Limit,,40,,
B 27,15.10,0.50,,Aquarius St,,30,,
B 28,15.60,0.50,,Follow US-24 West as it curves sharply to the left,,20,,
B 29,15.80,0.20,,Masche St,,30,,
B 30,15.90,0.10,,"""Rossville 5 miles""",,45,,
B 31,16.10,0.20,,,1,65,narrow paved,
B 32,18.30,2.20,,Tree growing out the top of a grain silo on right,,,,
B 33,20.30,2.00,,Rossville City Limit,,45,,"fuel, food"
B 34,20.70,0.40,,,,30,,
B 35,21.00,0.30,,Flashing Yellow for crosswalk,,,,
B 36,21.30,0.30,,Cross Creek,,50,,
B 37,21.50,0.20,,NW Capper Rd,1,65,narrow paved,
B 38,26.50,5.00,,Pottawatomie County Line,,,,
B 39,27.40,0.90,,,,45,,
B 40,27.60,0.20,,St. Marys City Limit,,40,,"fuel, food"
B 41,28.00,0.40,,Hospital access to left. Cleveland Chiropractic on left,,30,,
B 42,28.10,0.10,,"Oregon Trail sign on right, Historical marker on left at St. Mary’s Bears stone marker. (Just after St. Marys Welcome sign)  ",,,Parking ,
B 43,28.40,0.30,,4th St,,20,,
B 44,28.80,0.40,,7th St,,30,,
B 45,28.90,0.10,,After 9th St,,45,grass,
B 46,29.10,0.20,,Just before Pace Dr.,,55,,
B 47,29.40,0.30,,Just after Darling Rd,,65,narrow paved,
B 48,31.90,2.50,,"""Experience the Flint Hills"" sign on right",,,,
B 49,34.60,2.70,,"Welcome to Belvue
Sharp reduction in speed limit, pay attention!",,30,,food
B 50,35.10,0.50,,"""Wamego 6 miles""",1,55,,
B 51,35.40,0.30,,Fulmer's Kansas Premium Meats on left,,65,,
B 52,37.90,2.50,,Cross Vermillion River,,,,
B 53,40.30,2.40,,Speed change by a big single tree to the left,,60,,
B 54,40.60,0.30,,Turnoff for Highland Comm College to left,2,60,wide paved,
B 55,41.30,0.70,,Entering Wamego City Limit,2,40,curb,"fuel, food, lodging"
B 56,41.70,0.40,"TURN RIGHT at the SL for KS-99 North/Lincoln Ave, following signs for the Oregon and California Trails auto tour",Follow KS-99 North (also called the Road to Oz Highway),1,45,paved,
B 57,42.20,0.50,,Say Rd,1,60,grass,
B 58,44.00,1.80,,Entering Louisville,,50,paved/gravel,none
B 59,44.80,0.80,,"""Westmoreland 11 miles""",,65,gravel/grass,
B 60,45.80,1.00,,Rock Creek High School turnoff,,,,
B 61,48.80,3.00,,JCT Marten Rd,,,,
B 62,50.00,1.20,,JCT Brush Creek Rd,,,,
B 63,51.20,1.20,,JCT Boxelder Rd,,,,
B 64,55.10,3.90,,Historic marker and pulloff on left,,,,
B 65,55.20,0.10,,Oregon Trail Park at Scott Spring on right,,55,,
B 66,55.60,0.40,,Entering Westmoreland,,,,"fuel, camping"
B 67,55.80,0.20,,Oregon Trail Dr (at Dutch Hollow Rd),,45,,fuel
